lemme,cgram,gender,freqlivres_total,french_formatted,english
brique,NOM,f,33.51,la brique,the brick
mouillé,ADJ,,33.51,mouillé,wet
déboucher,VER,,33.46,déboucher,unblock
orgueil,NOM,m,33.440000000000005,le orgueil,the pride
merveille,NOM,f,33.31,la merveille,the wonder
assurance,NOM,f,33.25,la assurance,the insurance
mme,NOM,f,33.24,la mme,the same
sel,NOM,m,33.24,le sel,the salt
aborder,VER,,33.22,aborder,to land
consoler,VER,,33.22,consoler,console
replier,VER,,33.21,replier,fold up
figer,VER,,33.2,figer,freeze
i,NOM,m,33.18,le i,the
panier,NOM,m,33.17,le panier,the basket
épuiser,VER,,33.13,épuiser,exhaust
ô,ONO,,33.11,ô,Umbrella
chiffre,NOM,m,33.11,le chiffre,the figure
marine,ADJ,,33.1,marine,marine
bouffer,VER,,33.08,bouffer,bouffer
caresse,NOM,f,33.04,la caresse,the caress
lion,NOM,m,33.04,le lion,the lion
novembre,NOM,m,33.04,le novembre,November
discret,ADJ,,33.04,discret,discreet
nègre,NOM,m,33.03,le nègre,the negro
vase,NOM,m,32.980000000000004,le vase,the vase
pressé,ADJ,,32.92,pressé,in a hurry
ménage,NOM,m,32.910000000000004,le ménage,housekeeping
démarche,NOM,f,32.91,la démarche,the approach
couche,NOM,f,32.91,la couche,the layer
niveau,NOM,m,32.9,le niveau,the level
paire,NOM,f,32.84,la paire,the pair
lac,NOM,m,32.84,le lac,the lake
enveloppe,NOM,f,32.84,la enveloppe,the envelope
familial,ADJ,,32.83,familial,familial
pipe,NOM,f,32.83,la pipe,the pipe
boucher,NOM,m,32.8,le boucher,the butcher
projeter,VER,,32.79,projeter,project
embarquer,VER,,32.79,embarquer,embark
dignité,NOM,f,32.77,la dignité,dignity
propriétaire,NOM,m,32.77,le propriétaire,the owner
sucre,NOM,m,32.77,le sucre,the sugar
wagon,NOM,m,32.77,le wagon,the wagon
découper,VER,,32.73,découper,cut out
joindre,VER,,32.72,joindre,join
admiration,NOM,f,32.709999999999994,la admiration,the admiration
envisager,VER,,32.65,envisager,consider
apparition,NOM,f,32.64,la apparition,the appearance
intéressant,ADJ,,32.64,intéressant,interesting
défiler,VER,,32.64,défiler,scroll
profondeur,NOM,f,32.64,la profondeur,the depth
blouse,NOM,f,32.63,la blouse,the blouse
adolescent,NOM,m,32.63,le adolescent,the teenager
marrer,VER,,32.6,marrer,to laugh
blessure,NOM,f,32.57,la blessure,the injury
plancher,NOM,m,32.51,le plancher,the floor
pré,NOM,m,32.5,le pré,the meadow
là-dessus,ADV,,32.5,là-dessus,on that
proie,NOM,f,32.5,la proie,the prey
nouer,VER,,32.5,nouer,to tie
ouest,NOM,m,32.5,le ouest,the west
lapin,NOM,m,32.45,le lapin,the rabbit
échange,NOM,m,32.44,le échange,the exchange
index,NOM,m,32.43,le index,the index
pile,NOM,f,32.43,la pile,the battery
barrer,VER,,32.4,barrer,sweep
séance,NOM,f,32.370000000000005,la séance,the session/sitting/performance
foyer,NOM,m,32.37,le foyer,the hearth
hanche,NOM,f,32.36,la hanche,the hip
quant,NOM,f,32.3,la quant,the quantity
pavé,NOM,m,32.29,le pavé,the paving stone
endormi,ADJ,,32.29,endormi,asleep
vieillir,VER,,32.27,vieillir,to grow old
défaire,VER,,32.26,défaire,undo
tremper,VER,,32.19,tremper,soak
unir,VER,,32.17,unir,bind
galerie,NOM,f,32.17,la galerie,at the gallery
avantage,NOM,m,32.160000000000004,le avantage,the advantage
assaut,NOM,m,32.16,le assaut,the assault
gâteau,NOM,m,32.16,le gâteau,the cake
collègue,NOM,m,32.09,le collègue,the colleague
semblant,NOM,m,32.09,le semblant,the semblance
avril,NOM,m,32.03,le avril,April
liaison,NOM,f,31.96,la liaison,the connection
racine,NOM,f,31.96,la racine,the root
étonnement,NOM,m,31.96,le étonnement,the astonishment
manivelle,NOM,f,31.96,la manivelle,the crank
résonner,VER,,31.95,résonner,resonate
intact,ADJ,,31.89,intact,intact
tenue,NOM,f,31.89,la tenue,the outfit
récupérer,VER,,31.85,récupérer,to recover
poule,NOM,f,31.83,la poule,the hen
pascal,ADJ,,31.83,pascal,pascal
respiration,NOM,f,31.83,la respiration,breathing
complice,ADJ,,31.82,complice,accomplice
obus,NOM,m,31.82,le obus,the shell
carnet,NOM,m,31.82,le carnet,the notebook
définitif,ADJ,,31.76,définitif,final
échelle,NOM,f,31.76,la échelle,the scale
ressortir,VER,,31.72,ressortir,come out
dix-huit,ADJ:num,,31.69,dix-huit,eighteen
direct,ADJ,,31.69,direct,direct
concours,NOM,m,31.69,le concours,competition
modeste,ADJ,,31.69,modeste,modest
pratique,NOM,f,31.69,la pratique,the practice
déborder,VER,,31.64,déborder,to overflow
murmure,NOM,m,31.630000000000003,le murmure,the whisper
faveur,NOM,f,31.630000000000003,la faveur,the favor
fatigué,ADJ,,31.63,fatigué,fatigue
incident,NOM,m,31.63,le incident,the incident
éternité,NOM,f,31.63,la éternité,eternity
faiblesse,NOM,f,31.62,la faiblesse,weakness
champagne,NOM,m,31.62,le champagne,champagne
transparent,ADJ,,31.62,transparent,transparent
rarement,ADV,,31.62,rarement,rarely
cahier,NOM,m,31.56,le cahier,the notebook
admirable,ADJ,,31.56,admirable,admirable
grimace,NOM,f,31.49,la grimace,the grimace
phare,NOM,m,31.49,le phare,the lighthouse
dommage,NOM,m,31.48,le dommage,the damage
grogner,VER,,31.450000000000003,grogner,growl
amer,ADJ,,31.43,amer,bitter
recueillir,VER,,31.43,recueillir,collect
individu,NOM,m,31.42,le individu,the individual
piano,NOM,m,31.42,le piano,the plans
seize,ADJ:num,,31.42,seize,seize
mars,NOM,m,31.42,le mars,March
consister,VER,,31.37,consister,consist
basculer,VER,,31.37,basculer,to fall over
emprunter,VER,,31.3,emprunter,to borrow
boche,NOM,m,31.290000000000003,le boche,the boche
tempête,NOM,f,31.290000000000003,la tempête,the storm
populaire,ADJ,,31.29,populaire,popular
clore,VER,,31.28,clore,close
virginie,NOM,m,31.28,le virginie,Virginia
affection,NOM,f,31.22,la affection,the affection
décembre,NOM,m,31.22,le décembre,December
poème,NOM,m,31.22,le poème,the poem
spécial,ADJ,,31.21,spécial,special
délivrer,VER,,31.18,délivrer,issue
orner,VER,,31.16,orner,adorn
repérer,VER,,31.16,repérer,spot
luisant,ADJ,,31.16,luisant,shiny
allusion,NOM,f,31.15,la allusion,the allusion
motif,NOM,m,31.15,le motif,the motive
enfantin,ADJ,,31.15,enfantin,childish
science,NOM,f,31.08,la science,the scientific
pêche,NOM,f,31.020000000000003,la pêche,the peach
mèche,NOM,f,31.01,la mèche,the wick
critique,NOM,m,31.01,le critique,the critic
mélange,NOM,m,31.01,le mélange,the mixture
nourriture,NOM,f,31.01,la nourriture,the food
ralentir,VER,,30.97,ralentir,to slow down
cérémonie,NOM,f,30.950000000000003,la cérémonie,the ceremony
estomac,NOM,m,30.95,le estomac,the stomach
violet,ADJ,,30.94,violet,violet
banquette,NOM,f,30.880000000000003,la banquette,the bench
cerveau,NOM,m,30.880000000000003,le cerveau,the brain
outil,NOM,m,30.88,le outil,the tool
banque,NOM,f,30.88,la banque,the bank
fréquenter,VER,,30.85,fréquenter,frequent
bombe,NOM,f,30.81,la bombe,the bomb
appui,NOM,m,30.81,le appui,the support
décidément,ADV,,30.81,décidément,definitely
âgé,ADJ,,30.74,âgé,elderly
agacer,VER,,30.71,agacer,to annoy
réaction,NOM,f,30.68,la réaction,the reaction
province,NOM,f,30.68,la province,the province
monstre,NOM,m,30.68,le monstre,the monster
siens,PRO:pos,,30.68,siens,his
élevé,ADJ,,30.68,élevé,pupil
reproche,NOM,m,30.67,le reproche,the reproach
clarté,NOM,f,30.67,la clarté,clarity
coincer,VER,,30.64,coincer,to get stuck
ricaner,VER,,30.61,ricaner,to sneer
occupation,NOM,f,30.61,la occupation,the occupation
janvier,NOM,m,30.61,le janvier,January
visible,ADJ,,30.6,visible,visible
comporter,VER,,30.58,comporter,include
introduire,VER,,30.55,introduire,introduce
possibilité,NOM,f,30.54,la possibilité,the possibility
baraque,NOM,f,30.48,la baraque,the shack
palier,NOM,m,30.48,le palier,the landing
prénom,NOM,m,30.47,le prénom,the first name
mouton,NOM,m,30.47,le mouton,the sheep
ruelle,NOM,f,30.47,la ruelle,the alley
nerf,NOM,m,30.47,le nerf,the nerve
intellectuel,NOM,m,30.47,le intellectuel,the intellectual
crayon,NOM,m,30.47,le crayon,the pencil
décrocher,VER,,30.42,décrocher,pick up
étudier,VER,,30.42,étudier,to study
crisper,VER,,30.41,crisper,crisper
encombrer,VER,,30.41,encombrer,clutter
comble,NOM,m,30.35,le comble,the height
tablier,NOM,m,30.34,le tablier,the apron
journaliste,NOM,m,30.34,le journaliste,the journalist
ambition,NOM,f,30.33,la ambition,the ambition
déployer,VER,,30.31,déployer,deploy
guérir,VER,,30.3,guérir,heal
immobiliser,VER,,30.3,immobiliser,immobilize
bâton,NOM,m,30.27,le bâton,the stick
poudre,NOM,f,30.27,la poudre,the powder
péché,NOM,m,30.27,le péché,the sin
assis,ADJ,,30.27,assis,sat
instruction,NOM,f,30.27,la instruction,the instruction
émerger,VER,,30.23,émerger,emerge
duquel,PRO:rel,,30.21,duquel,from which
piège,NOM,m,30.2,le piège,the trap
catastrophe,NOM,f,30.14,la catastrophe,the disaster
dégoût,NOM,m,30.13,le dégoût,disgust
concert,NOM,m,30.13,le concert,the concert
union,NOM,f,30.07,la union,the union
crème,NOM,f,30.0,la crème,the cream
hé,ONO,,30.0,hé,hey
étonnant,ADJ,,30.0,étonnant,amazing
paroi,NOM,f,30.0,la paroi,the wall
oubli,NOM,m,29.94,le oubli,the oblivion
fierté,NOM,f,29.93,la fierté,pride
domestique,NOM,m,29.93,le domestique,the servant
commerce,NOM,m,29.93,le commerce,trade
adopter,VER,,29.91,adopter,adopter
envoler,VER,,29.88,envoler,fly away
minuit,NOM,m,29.87,le minuit,midnight
bougie,NOM,f,29.87,la bougie,the candle
boucle,NOM,f,29.87,la boucle,the buckle
effrayer,VER,,29.86,effrayer,scare
vivement,ADV,,29.86,vivement,strongly
chauffer,VER,,29.82,chauffer,heat
invité,NOM,m,29.81,le invité,the guest
rude,ADJ,,29.8,rude,rude
coupé,ADJ,,29.79,coupé,coupé
orange,NOM,f,29.74,la orange,the orange
mousse,NOM,f,29.73,la mousse,the foam
progrès,NOM,m,29.73,le progrès,progress
connerie,NOM,f,29.73,la connerie,bullshit
comédie,NOM,f,29.73,la comédie,the comedy
sévère,ADJ,,29.73,sévère,severe
ben,NOM,m,29.73,le ben,the good ones
acquérir,VER,,29.68,acquérir,acquire
laid,ADJ,,29.67,laid,ugly (formal)
énergie,NOM,f,29.67,la énergie,the energy
beurre,NOM,m,29.66,le beurre,butter
bataillon,NOM,m,29.53,le bataillon,the battalion
innombrable,ADJ,,29.53,innombrable,innumerable
entrevoir,VER,,29.53,entrevoir,glimpse
stupide,ADJ,,29.53,stupide,stupid
apparemment,ADV,,29.53,apparemment,apparently
jusque-là,ADV,,29.53,jusque-là,so far
encre,NOM,f,29.53,la encre,the ink
louer,VER,,29.5,louer,to rent/hire
apprêter,VER,,29.5,apprêter,prepare
essence,NOM,f,29.46,la essence,the essence
habitant,NOM,m,29.46,le habitant,the inhabitant
tempe,NOM,f,29.46,la tempe,the temple
cabane,NOM,f,29.46,la cabane,the cabin
royal,ADJ,,29.46,royal,royal
canard,NOM,m,29.46,le canard,the duck
attarder,VER,,29.41,attarder,to linger
barre,NOM,f,29.4,la barre,the bar
ficher,VER,,29.35,ficher,file
démarrer,VER,,29.34,démarrer,to start up
savant,ADJ,,29.34,savant,savant
coffre,NOM,m,29.33,le coffre,the car-boot
jaloux,ADJ,,29.27,jaloux,jealous
la plupart des,ADJ:ind,,29.26,la plupart des,most of the
jugement,NOM,m,29.26,le jugement,the judgment
commode,ADJ,,29.26,commode,commode
océan,NOM,m,29.25,le océan,the ocean
aimable,ADJ,,29.25,aimable,kind
emploi,NOM,m,29.19,le emploi,the job
casque,NOM,m,29.19,le casque,the helmet
triomphe,NOM,m,29.19,le triomphe,the triumph
dalle,NOM,f,29.19,la dalle,the from
patrie,NOM,f,29.19,la patrie,the homeland
soulager,VER,,29.16,soulager,to relieve
profil,NOM,m,29.12,le profil,the profile
sanglot,NOM,m,29.12,le sanglot,the sob
forcément,ADV,,29.12,forcément,necessarily
entasser,VER,,29.08,entasser,pile up
concierge,NOM,m,29.06,le concierge,the concierge
four,NOM,m,28.99,le four,the oven
monnaie,NOM,f,28.99,la monnaie,the currency
e,NOM,m,28.99,le e,the and
employé,NOM,m,28.98,le employé,the employee
connu,ADJ,,28.91,connu,known
aspirer,VER,,28.89,aspirer,strive
quelconque,ADJ,,28.85,quelconque,any
cendre,NOM,f,28.85,la cendre,the ash
immédiat,ADJ,,28.85,immédiat,immediate
fasciner,VER,,28.81,fasciner,fascinate
quatrième,ADJ,,28.78,quatrième,fourth
responsabilité,NOM,f,28.72,la responsabilité,responsibility
absorber,VER,,28.7,absorber,absorber
blé,NOM,m,28.65,le blé,wheat
délicieux,ADJ,,28.65,délicieux,delicious
gaz,NOM,m,28.65,le gaz,gas
voleur,NOM,m,28.65,le voleur,the thief
celle-là,PRO:dem,,28.65,celle-là,that one
enterrer,VER,,28.62,enterrer,bury
fendre,VER,,28.6,fendre,split
réveil,NOM,m,28.58,le réveil,the awakening
idéal,NOM,m,28.57,le idéal,the ideal
réciter,VER,,28.53,réciter,recite
s,NOM,m,28.52,le s,THE
quoique,CON,,28.51,quoique,though
culture,NOM,f,28.51,la culture,culture
bicyclette,NOM,f,28.51,la bicyclette,the bicycle
armer,VER,,28.47,armer,arms
longueur,NOM,f,28.44,la longueur,the length
vélo,NOM,m,28.44,le vélo,the bike
policier,NOM,m,28.44,le policier,the policeman
redescendre,VER,,28.42,redescendre,go back down
ronger,VER,,28.39,ronger,ronger
malin,ADJ,,28.39,malin,malin
bêtise,NOM,f,28.380000000000003,la bêtise,stupidity
grandeur,NOM,f,28.38,la grandeur,the greatness
telles,ADJ:ind,,28.38,telles,such
musée,NOM,m,28.37,le musée,the museum
baron,NOM,m,28.25,le baron,The Baron
étoffe,NOM,f,28.25,la étoffe,the fabric
imprimer,VER,,28.25,imprimer,to print out
pénombre,NOM,f,28.24,la pénombre,the shadows
franchement,ADV,,28.24,franchement,frankly
honnête,ADJ,,28.24,honnête,honest
misérable,ADJ,,28.19,misérable,miserable
vingt-cinq,ADJ:num,,28.18,vingt-cinq,twenty five
réunion,NOM,f,28.17,la réunion,the meeting
nettoyer,VER,,28.15,nettoyer,to clean
sursauter,VER,,28.13,sursauter,to jump
surmonter,VER,,28.12,surmonter,overcome
teint,NOM,m,28.11,le teint,the complexion
demeure,NOM,f,28.11,la demeure,the house
néanmoins,CON,,28.04,néanmoins,nevertheless
paradis,NOM,m,28.04,le paradis,heaven
gré,NOM,m,28.04,le gré,the will
sinistre,ADJ,,28.03,sinistre,sinister
procurer,VER,,28.02,procurer,procure
degré,NOM,m,27.97,le degré,the degree
ravir,VER,,27.9,ravir,delight
concevoir,VER,,27.85,concevoir,design
volume,NOM,m,27.840000000000003,le volume,the volume
centimètre,NOM,m,27.84,le centimètre,the centimeter
soviétique,ADJ,,27.83,soviétique,Soviet
survivre,VER,,27.8,survivre,survive
entamer,VER,,27.8,entamer,start
distraire,VER,,27.78,distraire,distract
régulièrement,ADV,,27.77,régulièrement,regularly
entretien,NOM,m,27.77,le entretien,the interview
pan,NOM,m,27.77,le pan,the pan
plaquer,VER,,27.72,plaquer,to plate
magnifique,ADJ,,27.71,magnifique,Magnificent
ivre,ADJ,,27.71,ivre,drunk
bouquin,NOM,m,27.700000000000003,le bouquin,the book
latin,NOM,m,27.7,le latin,Latin
possession,NOM,f,27.64,la possession,possession
remords,NOM,m,27.64,le remords,remorse
flotte,NOM,f,27.64,la flotte,the fleet
superbe,ADJ,,27.630000000000003,superbe,stunning
confirmer,VER,,27.61,confirmer,confirm
encourager,VER,,27.59,encourager,encourage
mépriser,VER,,27.59,mépriser,despise
viser,VER,,27.58,viser,shows
char,NOM,m,27.57,le char,the tank
bistrot,NOM,m,27.57,le bistrot,the bistro
poupée,NOM,f,27.57,la poupée,the doll
voyager,VER,,27.52,voyager,voyager
signaler,VER,,27.52,signaler,signals
aviser,VER,,27.52,aviser,newspapers
tâcher,VER,,27.51,tâcher,stain
clou,NOM,m,27.5,le clou,the nail
habit,NOM,m,27.5,le habit,the habit
chevelure,NOM,f,27.5,la chevelure,the hair
plaisanter,VER,,27.47,plaisanter,kidding
légende,NOM,f,27.44,la légende,the legend
pêcheur,NOM,m,27.44,le pêcheur,the fisherman
canal,NOM,m,27.44,le canal,the channel
pénible,ADJ,,27.43,pénible,hard
professionnel,ADJ,,27.43,professionnel,professional
mou,ADJ,,27.43,mou,mou
tournant,NOM,m,27.43,le tournant,the turning point
esclave,NOM,m,27.42,le esclave,the slave
bourrer,VER,,27.39,bourrer,stuff
errer,VER,,27.39,errer,wander
cochon,NOM,m,27.37,le cochon,the pig
abandon,NOM,m,27.36,le abandon,the abandonment
espérance,NOM,f,27.36,la espérance,hope
exercice,NOM,m,27.36,le exercice,the exercise
gaieté,NOM,f,27.36,la gaieté,cheerfulness
gueuler,VER,,27.32,gueuler,yell
japonais,NOM,m,27.31,le japonais,Japanese
gêne,NOM,f,27.3,la gêne,the embarrassment
sonore,ADJ,,27.3,sonore,sound
dérober,VER,,27.26,dérober,steal
éducation,NOM,f,27.23,la éducation,education
souple,ADJ,,27.23,souple,flexible
créature,NOM,f,27.23,la créature,the creature
indépendance,NOM,f,27.16,la indépendance,independence
examen,NOM,m,27.16,le examen,the exam
citer,VER,,27.15,citer,quote
emmerder,VER,,27.13,emmerder,to annoy
technique,NOM,f,27.1,la technique,the technique
voûte,NOM,f,27.090000000000003,la voûte,the vault
buisson,NOM,m,27.09,le buisson,the bush
extrémité,NOM,f,27.09,la extrémité,the end
pourri,ADJ,,27.09,pourri,rotten
terreur,NOM,f,27.09,la terreur,terror
refus,NOM,m,27.03,le refus,the refusal
bouleverser,VER,,27.02,bouleverser,to upset
fromage,NOM,m,26.96,le fromage,the cheese
tragique,ADJ,,26.96,tragique,tragic
bec,NOM,m,26.96,le bec,the beak
envier,VER,,26.91,envier,envy
souris,NOM,f,26.89,la souris,the mouse
fonctionnaire,NOM,m,26.89,le fonctionnaire,the civil servant
marée,NOM,f,26.89,la marée,the tide
marié,NOM,m,26.83,le marié,the groom
communication,NOM,f,26.82,la communication,la communication
tranquillement,ADV,,26.82,tranquillement,calmly
collège,NOM,m,26.82,le collège,the college
largement,ADV,,26.76,largement,widely
vapeur,NOM,f,26.76,la vapeur,steam
conduite,NOM,f,26.76,la conduite,driving
hall,NOM,m,26.76,le hall,and hall
appétit,NOM,m,26.75,le appétit,the appetite
enfouir,VER,,26.75,enfouir,bury
jumeau,NOM,m,26.75,le jumeau,the twin
aligner,VER,,26.7,aligner,aligner
panneau,NOM,m,26.69,le panneau,the signpost
ouverture,NOM,f,26.69,la ouverture,the opening
plainte,NOM,f,26.68,la plainte,the complaint
choeur,NOM,m,26.68,le choeur,the choir
soucier,VER,,26.65,soucier,worry
capitale,NOM,f,26.63,la capitale,the capital
réellement,ADV,,26.62,réellement,really
cauchemar,NOM,m,26.62,le cauchemar,the nightmare
vertige,NOM,m,26.62,le vertige,vertigo
pin,NOM,m,26.62,le pin,the pine
écouler,VER,,26.61,écouler,flow
levé,ADJ,,26.57,levé,left
exciter,VER,,26.56,exciter,exciter
malaise,NOM,m,26.56,le malaise,the discomfort
ordure,NOM,f,26.56,la ordure,the garbage
grève,NOM,f,26.55,la grève,the strike
pisser,VER,,26.51,pisser,piss
communiquer,VER,,26.5,communiquer,communicate
plaisanterie,NOM,f,26.48,la plaisanterie,the joke
programme,NOM,m,26.48,le programme,the program
loger,VER,,26.46,loger,to lodge
débattre,VER,,26.44,débattre,discuss
administration,NOM,f,26.42,la administration,the administration
fric,NOM,m,26.42,le fric,the money
fossé,NOM,m,26.42,le fossé,the gap
cuisinier,NOM,m,26.42,le cuisinier,the cook
manoeuvre,NOM,f,26.42,la manoeuvre,the maneuver
international,ADJ,,26.36,international,international
bouffée,NOM,f,26.35,la bouffée,the puff
crépuscule,NOM,m,26.35,le crépuscule,twilight
auxquels,PRO:rel,,26.29,auxquels,to which
autobus,NOM,m,26.28,le autobus,the buses
sapin,NOM,m,26.28,le sapin,the fir tree
guider,VER,,26.25,guider,to guide
déshabiller,VER,,26.24,déshabiller,undress
abriter,VER,,26.24,abriter,shelter
banal,ADJ,,26.22,banal,holy
cité,NOM,f,26.22,la cité,the city
tente,NOM,f,26.21,la tente,the tent
coton,NOM,m,26.21,le coton,cotton
deuil,NOM,m,26.21,le deuil,mourning
crête,NOM,f,26.21,la crête,the crest
maternel,ADJ,,26.16,maternel,maternal
croissant,NOM,m,26.15,le croissant,the croissant
télé,NOM,f,26.15,la télé,the tv
ténèbres,NOM,f,26.15,la ténèbres,the darkness
couvent,NOM,m,26.15,le couvent,the convent
sympathie,NOM,f,26.14,la sympathie,sympathy
revêtir,VER,,26.11,revêtir,to put on
raccrocher,VER,,26.1,raccrocher,to hang up
incroyable,ADJ,,26.08,incroyable,amazing
sacrifice,NOM,m,26.08,le sacrifice,the sacrifice
haie,NOM,f,26.08,la haie,the hedge
comparer,VER,,26.04,comparer,compare
empoigner,VER,,26.03,empoigner,to grab
obstacle,NOM,m,26.01,le obstacle,the obstacle
épargner,VER,,25.97,épargner,save
matelas,NOM,m,25.95,le matelas,the mattress
vaisselle,NOM,f,25.94,la vaisselle,the dishes
assassin,NOM,m,25.94,le assassin,the assassin
procéder,VER,,25.91,procéder,proceed
représentant,NOM,m,25.89,le représentant,the representative
magique,ADJ,,25.880000000000003,magique,magic
soixante,ADJ:num,,25.88,soixante,sixty
ascenseur,NOM,m,25.88,le ascenseur,the elevator
aboutir,VER,,25.87,aboutir,to end
cueillir,VER,,25.85,cueillir,pick
relire,VER,,25.84,relire,reread
circuler,VER,,25.83,circuler,circulate
narine,NOM,f,25.82,la narine,the nostril
classique,ADJ,,25.81,classique,classic
ceux-là,PRO:dem,,25.81,ceux-là,those ones
thomas,NOM,m,25.81,le thomas,the thomas
lecteur,NOM,m,25.81,le lecteur,the reader
effondrer,VER,,25.76,effondrer,collapse
bond,NOM,m,25.75,le bond,the leap
ultime,ADJ,,25.75,ultime,latest
insupportable,ADJ,,25.74,insupportable,intolerable
glacer,VER,,25.74,glacer,to glaze
hérétique,NOM,m,25.74,le hérétique,the heretic
ardeur,NOM,f,25.74,la ardeur,the ardor
témoigner,VER,,25.7,témoigner,to testify
effleurer,VER,,25.69,effleurer,to touch
vaincre,VER,,25.69,vaincre,to overcome
nager,VER,,25.68,nager,swim
nappe,NOM,f,25.68,la nappe,the tablecloth
explosion,NOM,f,25.68,la explosion,the explosion
tronche,NOM,f,25.68,la tronche,the face
danseur,NOM,m,25.68,le danseur,the dancer
collection,NOM,f,25.67,la collection,the collection
automobile,NOM,f,25.67,la automobile,the automobile
réjouir,VER,,25.630000000000003,réjouir,rejoice
pavillon,NOM,m,25.61,le pavillon,the pavilion
voyou,NOM,m,25.6,le voyou,the rogue/thug
panique,NOM,f,25.6,la panique,panic
distribuer,VER,,25.56,distribuer,distribute
bal,NOM,m,25.54,le bal,the ball
régiment,NOM,m,25.54,le régiment,the regiment
file,NOM,f,25.54,la file,the line
troupeau,NOM,m,25.54,le troupeau,the herd
privé,ADJ,,25.54,privé,private
cerf,NOM,m,25.54,le cerf,the deer
whisky,NOM,m,25.48,le whisky,le whisky
horrible,ADJ,,25.47,horrible,horrible
semer,VER,,25.44,semer,to sow
frôler,VER,,25.43,frôler,to graze
approche,NOM,f,25.41,la approche,the approach
suggérer,VER,,25.37,suggérer,suggest
combler,VER,,25.35,combler,to fill in
affecter,VER,,25.35,affecter,affect
retentir,VER,,25.34,retentir,to resound
poulet,NOM,m,25.34,le poulet,the chicken
épaisseur,NOM,f,25.34,la épaisseur,the thickness
tailleur,NOM,m,25.21,le tailleur,the tailor
bassin,NOM,m,25.21,le bassin,the basin
réfugier,VER,,25.21,réfugier,réfugier
blouson,NOM,m,25.21,le blouson,the jacket
épée,NOM,f,25.200000000000003,la épée,the sword
revolver,NOM,m,25.2,le revolver,the revolver
jalousie,NOM,f,25.2,la jalousie,jealousy
réparer,VER,,25.17,réparer,fix
adversaire,NOM,m,25.14,le adversaire,the opponent
inattendu,ADJ,,25.14,inattendu,unexpected
coutume,NOM,f,25.14,la coutume,the custom
timide,ADJ,,25.14,timide,shy
hésitation,NOM,f,25.14,la hésitation,the hesitation
bol,NOM,m,25.14,le bol,the bowl
produit,NOM,m,25.07,le produit,the product
dentelle,NOM,f,25.07,la dentelle,lace
révolte,NOM,f,25.06,la révolte,the revolt
revers,NOM,m,25.0,le revers,the reverse
office,NOM,m,25.0,le office,le office
logique,NOM,f,25.0,la logique,logic
flèche,NOM,f,25.0,la flèche,the arrow
profit,NOM,m,25.0,le profit,the profit
irriter,VER,,24.95,irriter,irritate
accroupir,VER,,24.94,accroupir,squat
divin,ADJ,,24.94,divin,divine
évanouir,VER,,24.94,évanouir,faint
cigare,NOM,m,24.93,le cigare,the cigar
patient,ADJ,,24.92,patient,patient
méthode,NOM,f,24.87,la méthode,the method
détour,NOM,m,24.87,le détour,the detour
contenu,NOM,m,24.87,le contenu,the content
mortel,ADJ,,24.87,mortel,mortal
soi-même,PRO:per,,24.86,soi-même,oneself
drôlement,ADV,,24.86,drôlement,funny
croisé,ADJ,,24.85,croisé,cross
exception,NOM,f,24.8,la exception,the exception
berger,NOM,m,24.8,le berger,the sheepdog
contraindre,VER,,24.77,contraindre,to constrain
trancher,VER,,24.75,trancher,slice
pâte,NOM,f,24.74,la pâte,the dough
philosophie,NOM,f,24.73,la philosophie,philosophy
alliance,NOM,f,24.73,la alliance,the alliance
féliciter,VER,,24.68,féliciter,congratulate
dévisager,VER,,24.67,dévisager,stare
sabot,NOM,m,24.660000000000004,le sabot,the hoof
uniquement,ADV,,24.66,uniquement,uniquely
pratiquer,VER,,24.63,pratiquer,practice
charbon,NOM,m,24.6,le charbon,coal
ruisseau,NOM,m,24.6,le ruisseau,the stream
au-dessous,ADV,,24.59,au-dessous,below
vibrer,VER,,24.55,vibrer,vibrate
accumuler,VER,,24.55,accumuler,accumulate
bâtir,VER,,24.55,bâtir,build
opérer,VER,,24.55,opérer,operate
mâle,NOM,m,24.54,le mâle,the male
confidence,NOM,f,24.53,la confidence,the confidence
fauve,NOM,m,24.53,le fauve,the wild beast
venger,VER,,24.49,venger,revenge
compliqué,ADJ,,24.47,compliqué,complicated
lundi,NOM,m,24.46,le lundi,the Monday
porteur,NOM,m,24.46,le porteur,the bearer
complicité,NOM,f,24.46,la complicité,complicity
étendue,NOM,f,24.46,la étendue,the extent
buste,NOM,m,24.46,le buste,the bust
divan,NOM,m,24.46,le divan,the couch
courrier,NOM,m,24.46,le courrier,the mail
fontaine,NOM,f,24.45,la fontaine,the fountain
transmettre,VER,,24.42,transmettre,to transmit
fonctionner,VER,,24.41,fonctionner,function
renifler,VER,,24.4,renifler,sniff
nôtre,PRO:pos,,24.39,nôtre,OUR
bagage,NOM,m,24.39,le bagage,the luggage
abandonné,ADJ,,24.39,abandonné,abandoned
grenier,NOM,m,24.39,le grenier,the attic
lasser,VER,,24.34,lasser,to tire
liste,NOM,f,24.33,la liste,the list
télévision,NOM,f,24.32,la télévision,television
procès,NOM,m,24.32,le procès,the trial
chaussée,NOM,f,24.32,la chaussée,the roadway
humanité,NOM,f,24.32,la humanité,humanity
frémir,VER,,24.27,frémir,shudder
impressionner,VER,,24.26,impressionner,impress
renseigner,VER,,24.26,renseigner,to inform
battant,ADJ,,24.26,battant,beating
